,VoiceOver　アクセシビリティサポーテッド検証結果 [等級A]  2013年8月版,,,,,,
,＊ この検証結果は、ウェブアクセシビリティ基盤委員会 実装ワーキンググループ（WG2）が提供する参考情報であり、予告なく変更されることがあります。,,,,,記号の説明,
,＊ この情報をご利用になる前に、ライセンス（利用許諾条項）と免責事項を必ずご確認ください。,,,,,○,サポートあり
,＊最新版は、ウェブアクセシビリティ基盤委員会のサイトでご確認ください（http://waic.jp/docs/jis2010/as.html）。,,,,,△,一部サポート
,,,,,,×,サポートなし
,,,,,,？,判定できず
,"iOS 6.1.3,Safari,VoiceOver",,,,,-,テスト不要（N/A）
検証日,"テストファイル
No.","検証結果
○/△/×/?/-",操作手順・音声読み上げログ,備考,,,
2013/5/15,C006,×,"■操作手順
「テスト開始」から「テスト終了」までを2本指フリックで読み上げたが、リスト項目は読み上げられるものの、定義リストかどうかを判断することはできなかった。
■音声読み上げ
「テスト開始

野菜

きゅうり
なす
大根
果物
りんご
みかん

テスト終了」","1本指フリックで読み上げる場合も定義リストかどうかを判断することはできない。

要素を直接タップすると
「野菜
リストの開始位置です」
と読むので、リストであることだけは判断可能。
ただしリストの先頭のみ。
「果物」は「果物」のみ。

1本指左右フリックも縦フリックと読み上げ方は同じ。",,,
,C007,×,"■操作手順
ローターで文字／単語に切り替えてフォーカスを移動させても、リンク項目にフォーカスが移動しない。
■音声読み上げ
","行に切り替えた場合、１本指立てフリック及びリンク要素を直接タップした場合に
「リンク」
とだけ読み上げる。

1本指左右フリックも縦フリックと読み上げ方は同じ。

ページ先頭からの自動読み上げでは
「カーナ」
とだけ読み上げる。",,,
,C008,○,"■操作手順
要素の直接タップ、2本指フリック、1本指立てフリック横フリックいずれも「東京都」と読み上げられた。
■音声読み上げ
「東京都」",,,,
,C009-1,－,テスト不要,,,,
,C009-2,○,"■操作手順
要素の直接タップ、2本指フリック、1本指立てフリック横フリックいずれも「経済産業省」と読み上げた。
■音声読み上げ
「経済産業省
リンク」",,,,
,C009-3,－,テスト不要,,,,
2013/5/27,G001-1,×,"■操作手順
1. リンク「メインコンテンツへスキップ」にフォーカスを移動させてダブルタップすると「プレスリリース」にフォーカスは移動するが、その直後に「メインコンテンツにスキプ」に戻ってしまう。
2. リンク「メインコンテンツへスキップ」にフォーカスを移動させてダブルタップした直後に2本指フリックすると順に読み上げられた。
■音声読み上げ
「プレスリリース　見出しレベル1
PCサーバ「PRIMERGY」のラインナップを強化」","iOS5では「メインコンテンツへスキップ」からフォーカス移動も不可。
他のアクションも効かない。",,,
2013/5/28,G001-2,×,"■操作手順
1. リンク「メインコンテンツへスキップ」にフォーカスを移動させてダブルタップすると「プレスリリース」にフォーカスは移動するが、その直後に「メインコンテンツにスキップ」に戻ってしまう。
2. リンク「メインコンテンツへスキップ」にフォーカスを移動させてダブルタップした直後に2本指フリックすると順に読み上げられた。
■音声読み上げ
「プレスリリース　見出しレベル1
PCサーバ「PRIMERGY」のラインナップを強化」",,,,
,G014-1,○,"■操作手順
「テスト開始」にフォーカス移動し、２本指フリックすると順に読み上げられた。
各セッションがT何に属するのかが分かった。
■音声読み上げ
「Web業界セミナー2009
9から9、30 表の開始位置です  セッション1 T1
9から9、30  セッション5 T2
9から9、30  セッション9 T3
9、30から10  セッション2 T1
9、30から10  セッション6 T2
9、30から10  セッション10 T3
10から10、30  セッション3 T1
10から10、30  セッション7 T2
10から10、30  セッション11 T3
10、30から11  セッション4 T1
10、30から11  セッション8 T2
10、30から11  セッション12　T3　表の終了位置です」",,,,
,G014-2,○,"■操作手順
「テスト開始」にフォーカス移動し、２本指フリックすると順に読み上げられた。
各セッションがトラック何に属するのかが分かった。
■音声読み上げ
「Web業界セミナー2009
9から9、30
セッション1 トラック1 イメージ
セッション5 トラック2 イメージ
セッション9 トラック3 イメージ
9、30から10
セッション2 トラック1 イメージ
セッション6 トラック2 イメージ
セッション10 トラック3 イメージ
10から10、30
セッション3 トラック1 イメージ
セッション7 トラック2 イメージ
セッション11 トラック3 イメージ
10、30から11
セッション4 トラック1 イメージ
セッション8 トラック2 イメージ
セッション12 トラック3 イメージ」",,,,
,G014-3,○,"■操作手順
「テスト開始」にフォーカス移動し、２本指フリックすると順に読み上げられた。■音声読み上げ
「選択してください　お問い合せ件名 必須 改行 ポップアップボタン
漢字　お名前　必須　テキストフィールド」",,,,
